dbi,dbj
DB01174,DB00741
DB00252,DB00741
DB00682,DB00537
DB00916,DB01174
DB01223,DB00199
DB00252,DB00537
DB00373,DB01223
DB01288,DB00373
DB00564,DB00199
DB01223,DB00537
DB00916,DB01356
DB00916,DB00564
DB00668,DB00335
DB00829,DB00199
DB01356,DB01050
DB00682,DB00586
DB00564,DB00196
DB00252,DB01223
DB01174,DB00860
DB00564,DB00343
DB00252,DB00695
DB00502,DB00196
DB00472,DB00199
DB00390,DB00829
DB01288,DB00335
DB01235,DB00252
DB01592,DB00537
DB01174,DB00635
DB01288,DB00968
DB01174,DB00571
DB01050,DB00695
DB00977,DB00564
DB00945,DB00741
DB00373,DB01050
DB01068,DB00196
DB00440,DB00252
DB00564,DB00422
DB00207,DB00682
DB00477,DB00571
DB00586,DB00630
DB00381,DB00343
DB00252,DB00359
DB01356,DB00584
DB00934,DB00571
DB01356,DB01197
DB00678,DB01356
DB00682,DB00316
DB00682,DB00437
DB00158,DB01174
DB00810,DB00502
DB00286,DB00252
DB00684,DB00695
DB00798,DB00695
DB01233,DB01235
DB00373,DB01016
DB00421,DB00390
DB01059,DB01223
DB01060,DB00977
DB00682,DB00196
DB00783,DB00860
DB00977,DB00635
DB01356,DB00999
DB00641,DB00199
DB01118,DB00252
DB00254,DB01174
DB01288,DB00458
DB00682,DB00550
DB00373,DB01001
DB00717,DB01174
DB01288,DB00540
DB01592,DB00451
DB00458,DB00196
DB00564,DB00254
DB01356,DB01223
DB00254,DB00766
DB00373,DB01120
DB00564,DB00661
DB00252,DB00338
DB01288,DB00321
DB01234,DB01174
DB00564,DB00367
DB01288,DB00571
DB00682,DB00603
DB00603,DB01174
DB01050,DB00571
DB01174,DB00367
DB01235,DB00968
DB00252,DB00196
DB00252,DB01234
DB00321,DB00196
DB00682,DB00635
DB01136,DB00472
DB00472,DB00571
DB01136,DB01050
DB00977,DB00766
DB00661,DB00390
DB00338,DB00829
DB00661,DB00335
DB00502,DB00571
DB01288,DB01136
DB00945,DB01120
DB01050,DB00335
DB01592,DB00254
DB00196,DB00829
DB00564,DB00717
DB00682,DB00451
DB00540,DB00196
DB00968,DB00502
DB00390,DB00550
DB00661,DB00571
DB01068,DB00338
DB00390,DB00695
DB00571,DB00343
DB00682,DB00254
DB01001,DB00571
DB01120,DB00571
DB00641,DB00196
DB00783,DB00635
DB00390,DB00451
DB00945,DB00860
DB01118,DB00390
DB00999,DB00390
DB00335,DB00343
DB00458,DB01001
DB01060,DB00254
DB01136,DB00390
DB00977,DB00254
DB00335,DB01001
DB01592,DB00968
DB01050,DB00945
DB01118,DB00343
DB01592,DB01059
DB00977,DB00860
DB00540,DB01001
DB00321,DB01001
DB01016,DB01136
DB01356,DB00472
DB00564,DB00458
DB00540,DB00472
DB00458,DB00472
DB00373,DB00968
DB00335,DB01120
DB00321,DB00564
DB00321,DB00472
DB00286,DB01174
DB01356,DB00502
DB01234,DB00945
DB00286,DB00860
DB00286,DB00635
DB00252,DB00860
DB00252,DB00829
DB00252,DB00717
DB00252,DB00635
DB00252,DB00472
DB00252,DB00367
DB00252,DB00254
DB00564,DB00472
DB00564,DB00502
DB01016,DB00945
DB00783,DB00252
DB01016,DB00571
DB01016,DB00335
DB00977,DB01223
DB00977,DB01174
DB00977,DB00252
DB00968,DB01001
DB00968,DB00571
DB00945,DB00635
DB00783,DB01174
DB00682,DB00564
DB01223,DB00571
DB01136,DB01120
DB00682,DB00472
DB00682,DB00252
DB00641,DB00343
DB00603,DB00252
DB00564,DB01223
DB01174,DB01223
DB00564,DB00641
DB00564,DB00540
DB00158,DB00252